epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,268.594,1.40453,3.53049,1.92487,0.19558,0.51669,0.24287,0.1421,1.44117,1.84466,2.19772,0.000831846,0.000277282,0.000831846,0.000277282,0.000831846,0.000277282,0.000831846,0.000277282
2,510.27,0.92549,1.92399,1.45064,0.30202,0.62677,0.39388,0.27447,1.06718,1.52183,1.75825,0.00163188,0.000543961,0.00163188,0.000543961,0.00163188,0.000543961,0.00163188,0.000543961
3,739.292,0.80037,1.65356,1.35287,0.4717,0.58206,0.5448,0.42032,0.87268,1.30236,1.54255,0.00239893,0.000799644,0.00239893,0.000799644,0.00239893,0.000799644,0.00239893,0.000799644
4,965.33,0.74526,1.51963,1.30634,0.51511,0.6796,0.59701,0.49029,0.70458,1.18813,1.36406,0.00235056,0.00078352,0.00235056,0.00078352,0.00235056,0.00078352,0.00235056,0.00078352
5,1191.14,0.70796,1.43713,1.27997,0.53179,0.67958,0.6312,0.53983,0.60021,1.11374,1.26664,0.00230108,0.000767026,0.00230108,0.000767026,0.00230108,0.000767026,0.00230108,0.000767026
6,1417.15,0.68536,1.37376,1.25854,0.5633,0.71539,0.67585,0.58554,0.54755,1.02824,1.22794,0.0022516,0.000750533,0.0022516,0.000750533,0.0022516,0.000750533,0.0022516,0.000750533
7,1643.04,0.673,1.33075,1.24833,0.58981,0.71071,0.70164,0.61165,0.55138,0.98432,1.21424,0.00220212,0.00073404,0.00220212,0.00073404,0.00220212,0.00073404,0.00220212,0.00073404
8,1869.33,0.64614,1.27454,1.23276,0.59811,0.6849,0.69305,0.59966,0.55782,1.02359,1.20919,0.00215264,0.000717546,0.00215264,0.000717546,0.00215264,0.000717546,0.00215264,0.000717546
9,2095.49,0.64164,1.25178,1.22587,0.62534,0.70126,0.7256,0.62483,0.5779,0.94918,1.21215,0.00210316,0.000701053,0.00210316,0.000701053,0.00210316,0.000701053,0.00210316,0.000701053
10,2321.93,0.63102,1.22021,1.21882,0.61639,0.71214,0.72192,0.62955,0.55355,0.95352,1.19627,0.00205368,0.000684559,0.00205368,0.000684559,0.00205368,0.000684559,0.00205368,0.000684559
11,2548.35,0.62339,1.19337,1.2141,0.6142,0.72202,0.72591,0.63033,0.54998,0.94068,1.18846,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066
12,2774.45,0.61594,1.17773,1.20919,0.6368,0.70209,0.73292,0.64105,0.53403,0.94939,1.18646,0.00195472,0.000651573,0.00195472,0.000651573,0.00195472,0.000651573,0.00195472,0.000651573
13,3000.59,0.60846,1.14999,1.2016,0.6551,0.71052,0.73721,0.6421,0.54762,0.91608,1.17966,0.00190524,0.000635079,0.00190524,0.000635079,0.00190524,0.000635079,0.00190524,0.000635079
14,3227.02,0.60028,1.13422,1.19701,0.64527,0.68945,0.72538,0.6411,0.50389,0.95277,1.14995,0.00185576,0.000618586,0.00185576,0.000618586,0.00185576,0.000618586,0.00185576,0.000618586
15,3453.5,0.59653,1.1255,1.19654,0.64706,0.7066,0.73737,0.64782,0.52634,0.93724,1.1673,0.00180628,0.000602092,0.00180628,0.000602092,0.00180628,0.000602092,0.00180628,0.000602092
16,3680.25,0.58676,1.08827,1.18464,0.64173,0.71865,0.73904,0.65699,0.49633,0.92209,1.14618,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599
